Movie,Actor,Strength
"Illusionist, The",Julius Harris,0.882
Down in the Valley,Julius Harris,0.855
Se7en,Julius Harris,0.72
Apocalypse Now,Julius Harris,0.18
Band of Brothers (Wir waren wie Brüder),Julius Harris,0.135
Chliine Iisbär - Em Nanouk sini Rettig,Julius Harris,0.135
Liebe auf Umwegen (Raising Helen),Julius Harris,0.09
"Pakt, Der (The Couvenant)",Julius Harris,0.09
LOST - Staffel 2,Julius Harris,0.32
"Ghostwriter, Der",Julius Harris,0.28
Kingsman,Julius Harris,0.16
Robots,Julius Harris,0.16
"Eiskönigin, Die (Frozen)",Julius Harris,0.12
"League of Extraordinary Gentlemen, The",Julius Harris,0.08
LOST - Staffel 6,Julius Harris,0.08
"Others, The",Julius Harris,0.04
"Prophezeiung, Die",Julius Harris,0.04
Bones: Die Knochenjägerin (Season 4),Julius Harris,0.032
Kingdom of Heaven,Julius Harris,0.008
Dumbo,Julius Harris,0.004
Fahrenheit 9/11,Julius Harris,0.004
Kaltes Blut (Infamous),Julius Harris,0.004
Flug 93 (United 93),Julius Harris,0.14
D-Day 6.6.44,Julius Harris,0.007
Liebe und Eis (The Cutting Edge),Julius Harris,0.007
So was wie Liebe (A Lot Like Love),Julius Harris,0.006
Drachenzähmen (How to Train Your Dragon),Julius Harris,0.025
Finding Nemo,Geoffrey Holder,3.6
Identity,Roger Moore,1.1
Pate II (The Godfather: Part II),Roger Moore,0.72
Monty Python's Life of Brian,Roger Moore,0.675
"Asterix, der Gallier",Roger Moore,0.63
Sandmännchen - Gute Nacht Geschichten,Roger Moore,0.18
"Illusionist, The",Roger Moore,0.72
"Baader Meinhof Komplex, Der",Roger Moore,0.12
"Maulwurf, Der - In der Stadt",Christopher Lee,0.9
Before Sunrise,Christopher Lee,0.81
Hoch klingt der Radetzkymarsch,Christopher Lee,0.08
Plötzlich Prinzessin,Christopher Lee,0.56
Ice Age 1,Christopher Lee,0.49
Breaking and Entering,Christopher Lee,0.35
City of Angels (Stadt der Engel),Britt Ekland,1.75
Ice Age 2: The Meltdown,Britt Ekland,1.5
Apocalypse Now,Britt Ekland,0.72
City of God,Britt Ekland,0.675
"Eiskönigin, Die (Frozen)",Britt Ekland,0.63
"Family Stone, The",Britt Ekland,0.54
"Hölle Vietnams, Die (A Bright Shining Lie)",Britt Ekland,0.36
"Longest Day, The",Britt Ekland,0.36
Prinzessin Fantaghiro,Britt Ekland,0.315
Art of War,Britt Ekland,0.297
Daredevil,Britt Ekland,0.27
Plötzlich Prinzessin,Britt Ekland,0.135
Emma,Britt Ekland,0.072
Ice Age 4: Continental Drift,Britt Ekland,0.2
Hoch klingt der Radetzkymarsch,Britt Ekland,0.08
Romeo + Juliet,Britt Ekland,0.064
"Illusionist, The",Britt Ekland,0.028
Krieg der Welten (War of the Worlds),Britt Ekland,0.021
Kundun,Britt Ekland,0.007
Mimic,Britt Ekland,0.007
Pate I (The Godfather),Britt Ekland,0.007
Liebe auf Umwegen (Raising Helen),Britt Ekland,0.15
NBA - Die 100 Besten Spiele der NBA,Britt Ekland,0.12
"Prophezeiung, Die",Britt Ekland,0.012
"Dschungelbuch, Das",Britt Ekland,0.006
So was wie Liebe (A Lot Like Love),Britt Ekland,0.006
Cinderella,Maud Adams,1.1
Jagdfieber (Open Season),Maud Adams,0.9
Hinter dem Horizont (What Dreams May Come),Maud Adams,0.675
"Illusionist, The",Maud Adams,0.63
"Haus am See, Das (The Lake House)",Maud Adams,0.504
"Hölle Vietnams, Die (A Bright Shining Lie)",Maud Adams,0.495
Asterix in Amerika,Maud Adams,0.45
Cube,Maud Adams,0.18
"Score, The",Maud Adams,0.48
Se7en,Maud Adams,0.24
"Last Days on Mars, The",Maud Adams,0.2
Coyote Ugly,Maud Adams,0.08
"Parfum, Das",Maud Adams,0.08
Oblivion,Maud Adams,0.064
Final Destination,Maud Adams,0.008
Band of Brothers (Wir waren wie Brüder),Maud Adams,0.004
E-Mail für dich (You've Got Mail),Maud Adams,0.004
"Fähnlein der sieben Aufrechten, Das",Maud Adams,0.004
Shaft,Maud Adams,0.004
Operation: Kingdom,Maud Adams,0.07
LOST - Staffel 5,Maud Adams,0.007
Mimic,Maud Adams,0.007
Breaking and Entering,Maud Adams,0.006
Dumbo,Maud Adams,0.003
American Princess,Herve Villechaize,1.5
Dead Man Walking,Herve Villechaize,1
D-Day 6.6.44,Herve Villechaize,0.72
"Arielle, die Meerjungfrau",Herve Villechaize,0.63
"Reader, The (Der Vorleser)",Herve Villechaize,0.54
Alatriste,Herve Villechaize,0.45
NBA - Die 100 Besten Spiele der NBA,Herve Villechaize,0.36
"Bourne Supremacy, The",Herve Villechaize,0.315
"Kill Bill, Volume 1",Herve Villechaize,0.315
"Island, The",Herve Villechaize,0.27
Schwerter des Königs (Dungeon Siege Tale),Herve Villechaize,0.261
Dirty Dancing 2,Herve Villechaize,0.126
Natural Born Killers,Herve Villechaize,0.117
Barfuss,Herve Villechaize,0.12
"Social Network, The",Herve Villechaize,0.12
"Bourne Identity, The",Herve Villechaize,0.096
National Treasure II: Book of Secrets,Herve Villechaize,0.096
Schindler's List,Herve Villechaize,0.08
Red Planet,Herve Villechaize,0.016
Half Light,Herve Villechaize,0.035
S.W.A.T.,Herve Villechaize,0.035
NBA - Dunks,Herve Villechaize,0.021
Se7en,Herve Villechaize,0.007
Hercules,Herve Villechaize,0.0035
Dead Man Walking,Clifton James,0.9
Schwerter des Königs (Dungeon Siege Tale),Clifton James,0.8
NBA - Die 100 Besten Spiele der NBA,Clifton James,0.9
"Kühe sind los, Die",Clifton James,0.63
"Bourne Identity, The",Clifton James,0.54
Harry Potter VI - Halbblutprinz,Clifton James,0.4
Lord of the Rings III - The Return of the King,Clifton James,0.32
Kingdom of Heaven,Clifton James,0.24
Full Metal Jacket,Roger Moore,4.5
McLeods Töchter: Staffel 6,Barbara Bach,4
From Hell,Barbara Bach,1.8
"Schatzinsel, Die (PRO7)",Barbara Bach,0.8
Ghost Rider,Barbara Bach,0.024
FernGully 1 & 2,Curt Jurgens,1.1
Meet the Fockers,Curt Jurgens,0.81
"Reader, The (Der Vorleser)",Curt Jurgens,0.72
Snow White and the Huntsman,Richard Kiel,1.1
Im Juli,Richard Kiel,0.9
Reservoir Dogs,Richard Kiel,0.81
Batman Begins,Richard Kiel,0.45
Oxford Murders,Richard Kiel,0.64
Battleship,Richard Kiel,0.56
Däumeline,Richard Kiel,0.48
"Last King of Scotland, The",Caroline Munro,10
"Last Days on Mars, The",Walter Gotell,0.9
"Eiskönigin, Die (Frozen)",Walter Gotell,0.72
Blow,Walter Gotell,0.64
Poseidon,Walter Gotell,0.56
No Country for old Men,Walter Gotell,0.48
Flags of Our Fathers,Walter Gotell,0.35
Meet the Fockers,Walter Gotell,0.28
"Prince & Me, The",Roger Moore,1.25
Schatten einer Liebe (To Gillian on Her 37th Birthday),Roger Moore,0.9
Snow White and the Huntsman,Roger Moore,0.855
Pitch Black,Roger Moore,0.72
Battleship,Roger Moore,0.64
Resident Evil: Apocalypse,Lois Chiles,0.9
Schatten einer Liebe (To Gillian on Her 37th Birthday),Lois Chiles,0.72
Letters From Iwo Jima,Lois Chiles,0.675
Air,Lois Chiles,0.405
Les Misérables,Lois Chiles,0.4
Kundun,Lois Chiles,0.36
Robin Hood,Lois Chiles,0.24
Sideways,Lois Chiles,0.16
Knockin' on Heaven's Door,Lois Chiles,0.007
"Maulwurf, Der - Abenteuer als Gärtner",Lois Chiles,0.007
"Narnia I, The Chronicles of Narnia",Lois Chiles,0.007
Däumeline,Lois Chiles,0.06
Johanna von Orleans (Joan of Arc),Lois Chiles,0.006
City of God,Michel Lonsdale,1.05
"Last Days on Mars, The",Michel Lonsdale,0.99
Resident Evil: Extinction,Michel Lonsdale,0.9
"Illusionist, The",Michel Lonsdale,0.6
Poseidon,Michel Lonsdale,0.32
Mimic,Michel Lonsdale,0.14
Blow,Michel Lonsdale,0.07
Drei Haselnüsse für Aschenbrödel,Richard Kiel,6.3
Drei Haselnüsse für Aschenbrödel,Richard Kiel,6.3
Drei Haselnüsse für Aschenbrödel,Richard Kiel,6.3
Pakt der Wölfe (Brotherhood of the Wolf),Richard Kiel,5
Pakt der Wölfe (Brotherhood of the Wolf),Richard Kiel,5
Pakt der Wölfe (Brotherhood of the Wolf),Richard Kiel,5
Pakt der Wölfe (Brotherhood of the Wolf),Richard Kiel,5
Drachenzähmen (How to Train Your Dragon),Richard Kiel,0.8
"Ende, Das (Assault on Precinct 13)",Corinne Clery,1.8
"Asterix, der Gallier",Corinne Clery,0.99
Million Dollar Baby,Corinne Clery,0.9
"Last Days on Mars, The",Corinne Clery,0.585
"Illusionist, The",Corinne Clery,0.576
Oblivion,Corinne Clery,0.45
Mit aller Macht (Primary Colors),Corinne Clery,0.315
Apocalypse Now,Corinne Clery,0.135
Jagdfieber (Open Season),Corinne Clery,0.09
Ghost Ship,Corinne Clery,1
Iron Man,Corinne Clery,0.76
"Ghostwriter, Der",Corinne Clery,0.48
"Island, The",Corinne Clery,0.32
Haven - Staffel 1,Corinne Clery,0.16
Safe House,Corinne Clery,0.12
Fantastic Four: Rise of the Silver Surfer,Corinne Clery,0.08
"Merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit, Das",Corinne Clery,0.08
Robin Hood: Prince of Thieves,Corinne Clery,0.08
Mein Name ist Eugen,Corinne Clery,0.064
Cloverfield,Corinne Clery,0.04
"Girl with the Dragon Tattoo, The (Verblendung)",Corinne Clery,0.04
Poseidon,Corinne Clery,0.04
Krieg der Welten (War of the Worlds),Corinne Clery,0.024
Coyote Ugly,Corinne Clery,0.008
Gestolene Herzen (Two If by Sea),Corinne Clery,0.008
Band of Brothers (Wir waren wie Brüder),Corinne Clery,0.004
Down in the Valley,Corinne Clery,0.004
LOST - Staffel 6,Corinne Clery,0.004
"Pakt, Der (The Couvenant)",Corinne Clery,0.004
Se7en,Corinne Clery,0.004
Alatriste,Corinne Clery,0.28
Flug 93 (United 93),Corinne Clery,0.175
No Country for old Men,Corinne Clery,0.035
"Eiskönigin, Die (Frozen)",Corinne Clery,0.028
Dumbo,Corinne Clery,0.014
Art of War,Corinne Clery,0.007
Benny Hill - The Best of Benny Hill ,Corinne Clery,0.007
Cars,Corinne Clery,0.007
"Chef zum Verlieben, Ein (Two weeks notice)",Corinne Clery,0.007
Hearts in Atlantis,Corinne Clery,0.007
Liebe auf Umwegen (Raising Helen),Corinne Clery,0.007
"Pompeji, Die letzten Tage von Pompeji",Corinne Clery,0.007
"Dschungelbuch, Das",Corinne Clery,0.006
Pate I (The Godfather),Corinne Clery,0.006
Schindler's List,Corinne Clery,0.006
Meet the Fockers,Corinne Clery,0.003
So was wie Liebe (A Lot Like Love),Corinne Clery,0.003
Pate III (The Godfather: Part III),Bernard Lee,0.99
"Ghostwriter, Der",Bernard Lee,0.9
Flug 93 (United 93),Bernard Lee,0.675
Ice Age 4: Continental Drift,Bernard Lee,0.36
Cloverfield,Bernard Lee,0.27
"Dschungelbuch, Das",Bernard Lee,0.16
"Parfum, Das",Bernard Lee,0.08
Breaking and Entering,Bernard Lee,0.07
NBA - Die 100 Besten Spiele der NBA,Bernard Lee,0.035
"Girl with the Dragon Tattoo, The (Verblendung)",Bernard Lee,0.028
"Arielle, die Meerjungfrau",Bernard Lee,0.006
"Island, The",Bernard Lee,0.006
Dark Water (Dunkle Wasser),Roger Moore,1.5
Catch Me if You Can,Roger Moore,0.99
Life of David Gale,Roger Moore,0.9
Before Sunrise,Roger Moore,0.81
E.T. - Der Ausserirdische,Roger Moore,0.72
Moonlight and Valentino,Roger Moore,0.63
Emma,Roger Moore,0.585
"Schwester der Königin, Die",Roger Moore,0.45
"Schwester der Königin, Die",Roger Moore,0.225
Darf ich Bitten? (Shall We Dance?),Roger Moore,0.18
Iron Man,Roger Moore,0.003
Solange du da bist (Just Like Heaven),Carole Bouquet,1.25
"Sissi, Schicksalsjahre einer Kaiserin",Carole Bouquet,1
"Score, The",Carole Bouquet,0.855
"Pompeji, Die letzten Tage von Pompeji",Carole Bouquet,0.63
On the Line,Topol,0.7
"Schwester der Königin, Die",Topol,0.9
"Illusionist, The",Topol,0.72
Casanova,Topol,0.0035
Apocalypse Now,Lynn-Holly Johnson,0.9
Plötzlich Prinzessin,Lynn-Holly Johnson,0.675
"Eiskönigin, Die (Frozen)",Lynn-Holly Johnson,0.54
Blow,Lynn-Holly Johnson,0.45
"Hölle Vietnams, Die (A Bright Shining Lie)",Lynn-Holly Johnson,0.2
Art of War,Lynn-Holly Johnson,0.16
Hoch klingt der Radetzkymarsch,Lynn-Holly Johnson,0.08
Ice Age 1,Lynn-Holly Johnson,0.245
Niko - Ein Rentier hebt ab,Lynn-Holly Johnson,0.175
Prinzessin Fantaghiro,Lynn-Holly Johnson,0.07
Harry Potter V - Orden des Phönix,Lynn-Holly Johnson,0.007
Pate I (The Godfather),Lynn-Holly Johnson,0.007
Drei Haselnüsse für Aschenbrödel,Julian Glover,1.25
Drachenzähmen (How to Train Your Dragon),Julian Glover,0.9
Breaking and Entering,Julian Glover,0.54
ROM - 1. Staffel,Cassandra Harris,0.9
"Last Days on Mars, The",Cassandra Harris,0.54
City of God,Cassandra Harris,0.45
Metro,Cassandra Harris,0.45
Oblivion,Cassandra Harris,0.27
"Maulwurf, Der - In der Stadt",Cassandra Harris,0.225
Bones: Die Knochenjägerin (Season 5),Cassandra Harris,0.18
Niko - Ein Rentier hebt ab,Cassandra Harris,0.18
No Country for old Men,Cassandra Harris,0.18
Apocalypse Now,Cassandra Harris,0.153
"Eiskönigin, Die (Frozen)",Cassandra Harris,0.135
Poseidon,Cassandra Harris,0.135
Blow,Cassandra Harris,0.063
I.Q.,Cassandra Harris,0.72
Final Destination,Cassandra Harris,0.32
Fantastic Four,Cassandra Harris,0.2
Liebe und Eis (The Cutting Edge),Cassandra Harris,0.2
Annie,Cassandra Harris,0.16
"Hölle Vietnams, Die (A Bright Shining Lie)",Cassandra Harris,0.16
Anastasia,Cassandra Harris,0.08
Hoch klingt der Radetzkymarsch,Cassandra Harris,0.08
"Illusionist, The",Cassandra Harris,0.08
"Missing, The",Cassandra Harris,0.08
Prinzessin Fantaghiro,Cassandra Harris,0.08
"Family Stone, The",Cassandra Harris,0.024
Art of War,Cassandra Harris,0.016
Before Sunrise,Cassandra Harris,0.016
Breaking and Entering,Cassandra Harris,0.016
LOST - Staffel 5,Cassandra Harris,0.016
Mimic,Cassandra Harris,0.016
Plötzlich Prinzessin,Cassandra Harris,0.016
I am Legend,Cassandra Harris,0
Resident Evil: Extinction,Cassandra Harris,0.035
Daredevil,Cassandra Harris,0.007
Iron Man,Cassandra Harris,0.007
Oxford Murders,Cassandra Harris,0.007
Jagdfieber (Open Season),Cassandra Harris,0.03
"Ghostwriter, Der",Roger Moore,1.75
Flug 93 (United 93),Roger Moore,1.5
Jagdfieber (Open Season),Roger Moore,0.75
Iron Man,Roger Moore,0.2
Keinohrhasen,Roger Moore,0.54
Flags of Our Fathers,Roger Moore,0.45
Schneewittchen und die sieben Zwerge,Roger Moore,0.45
Million Dollar Baby,Roger Moore,0.225
Se7en,Roger Moore,0.09
"Score, The",Roger Moore,0.24
Captain Corelli's Mandolin,Roger Moore,0.12
Operation Walküre - Stauffenberg Attentat ,Roger Moore,0.12
I am Legend,Roger Moore,0.08
Oblivion,Roger Moore,0.056
Casanova,Roger Moore,0.04
Coyote Ugly,Roger Moore,0.032
Kingdom of Heaven,Roger Moore,0.016
Band of Brothers (Wir waren wie Brüder),Roger Moore,0.0035
Dumbo,Roger Moore,0.0035
"Merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit, Das",Roger Moore,0.0035
"Insider, The",Maud Adams,4.05
Monster,Maud Adams,3.15
Barfuss,Louis Jourdan,1.75
Dead Man Walking,Louis Jourdan,1.35
NBA - Die 100 Besten Spiele der NBA,Louis Jourdan,0.9
National Treasure II: Book of Secrets,Louis Jourdan,0.675
Interstellar,Louis Jourdan,0.585
"Pacific, The",Louis Jourdan,0.225
"Departed, The",Louis Jourdan,0.72
"Asterix, sieg über Cäsar",Louis Jourdan,0.64
Natural Born Killers,Louis Jourdan,0.48
"Island, The",Louis Jourdan,0.24
"Arielle, die Meerjungfrau",Louis Jourdan,0.16
Cars,Louis Jourdan,0.12
Dirty Dancing 2,Louis Jourdan,0.12
"Asterix, der Gallier",Louis Jourdan,0.08
Bandidas,Louis Jourdan,0.08
Polar Express,Louis Jourdan,0.08
Harry Potter V - Orden des Phönix,Louis Jourdan,0.056
NBA - Dunks,Louis Jourdan,0.056
"American, The",Louis Jourdan,0.04
Half Light,Louis Jourdan,0.04
"Kill Bill, Volume 1",Louis Jourdan,0.035
"Bourne Identity, The",Louis Jourdan,0.014
"Prophezeiung, Die",Louis Jourdan,0.014
Cargo,Louis Jourdan,0.007
"Dschungelbuch, Das",Louis Jourdan,0.007
"Schatzinsel, Die (PRO7)",Kristina Wayborn,1.25
"Butterfly Effect 2, The",Kristina Wayborn,1
Drei Haselnüsse für Aschenbrödel,Kristina Wayborn,0.9
McLeods Töchter: Staffel 2,Kristina Wayborn,0.85
"Deutschmeister, Die",Kristina Wayborn,0.72
"Rotkäppchen-Verschwörung, Die",Kristina Wayborn,0.54
Machtlos (Rendition),Kristina Wayborn,0.45
Romeo + Juliet,Kristina Wayborn,0.48
LOST - Staffel 4,Kristina Wayborn,0.32
"Braut des Prinzen, Die",Kristina Wayborn,0.2
Mimic,Kristina Wayborn,0.2
Safe House,Kristina Wayborn,0.175
Akte Jane (G.I. Jane),Kabir Bedi,0.5
Alatriste,Kabir Bedi,1.35
Schindler's List,Kabir Bedi,1.125
LOST - Staffel 2,Kabir Bedi,0.72
McLeods Töchter: Staffel 2,Kabir Bedi,0.54
I.Q.,Kabir Bedi,0.45
Fast and the Furious,Kabir Bedi,0.315
"Social Network, The",Kabir Bedi,0.27
Sandmännchen - Wintergeschichten,Kabir Bedi,0.18
Machtlos (Rendition),Kabir Bedi,0.135
Romeo + Juliet,Kabir Bedi,0.09
Robots,Kabir Bedi,0.8
"Braut des Prinzen, Die",Kabir Bedi,0.24
"Longest Day, The",Kabir Bedi,0.16
"English Patient, The",Kabir Bedi,0.12
Half Light,Kabir Bedi,0.12
"Kill Bill, Volume 1",Kabir Bedi,0.08
LOST - Staffel 4,Kabir Bedi,0.08
Pocahontas,Kabir Bedi,0.08
"Scharlachrote Buchstabe, Der (Scarlet Letter)",Kabir Bedi,0.08
Hercules,Kabir Bedi,0.064
Red Planet,Kabir Bedi,0.064
Hearts in Atlantis,Kabir Bedi,0.04
LOST - Staffel 5,Kabir Bedi,0.04
LOST - Staffel 6,Kabir Bedi,0.008
Ghost Ship,Kabir Bedi,0.007
Mimic,Kabir Bedi,0.007
Prinzessin Fantaghiro,Kabir Bedi,0.007
Pate I (The Godfather),Kabir Bedi,0.006
"Insider, The",Steven Berkoff,5.8
Monster,Steven Berkoff,4.8
Emma,Roger Moore,1.17
Life of David Gale,Roger Moore,0.9
Anastasia,Christopher Walken,0.9
Emma,Christopher Walken,0.72
Mimic,Tanya Roberts,0.08
Prinzessin Fantaghiro,Tanya Roberts,0.07
Constantine,Grace Jones,1
Monty Python and the Holy Grail,Grace Jones,0.81
"Longest Day, The",Grace Jones,0.63
Keeping the Faith,Grace Jones,0.54
Mimic,Grace Jones,0.45
Romeo + Juliet,Grace Jones,0.64
LOST - Staffel 5,Grace Jones,0.24
Killing Fields,Grace Jones,0.28
Könige der Wellen,Grace Jones,0.3
Machtlos (Rendition),Patrick MacNee,1
"Longest Day, The",Patrick MacNee,0.81
Daredevil,Patrick MacNee,0.72
Mimic,Patrick MacNee,0.54
Romeo + Juliet,Patrick MacNee,0.45
I.Q.,Patrick MacNee,0.36
Emma,Patrick MacNee,0
Chip & Chap - Die Ritter des Rechts (Vol. 1),Patrick MacNee,0.32
Prinzessin Fantaghiro,Patrick MacNee,0.24
"Braut des Prinzen, Die",Patrick MacNee,0.16
LOST - Staffel 5,Patrick MacNee,0.16
Before Sunrise,Patrick MacNee,0.12
Ice Age 2: The Meltdown,Patrick MacNee,0.49
"Eiskönigin, Die (Frozen)",Patrick MacNee,0.28
Elysium,Patrick Bauchau,1.1
"Longest Day, The",Patrick Bauchau,0.9
Mimic,Patrick Bauchau,0.72
Ice Age 2: The Meltdown,Timothy Dalton,0.7
Apocalypse Now,Timothy Dalton,0.63
"Eiskönigin, Die (Frozen)",Timothy Dalton,0.56
Pate I (The Godfather),Timothy Dalton,0.42
Batman - The Dark Knight,Maryam D'Abo,1
Madagascar,Maryam D'Abo,1
Hostage,Maryam D'Abo,0.75
Casablanca,Maryam D'Abo,0.9
Ocean's 12,Maryam D'Abo,0.9
"Score, The",Maryam D'Abo,0.765
Sissi,Maryam D'Abo,0.765
Asterix bei den Briten,Maryam D'Abo,0.675
Green Zone,Maryam D'Abo,0.45
Lady in the Water,Maryam D'Abo,0.45
Pearl Harbor,Maryam D'Abo,0.12
"Good Shepherd, The",Maryam D'Abo,0.08
Notting Hill,Maryam D'Abo,0.04
"Longest Day, The",Maryam D'Abo,0.032
Romeo + Juliet,Maryam D'Abo,0.024
LOST - Staffel 5,Maryam D'Abo,0.008
"Dschungelbuch, Das",Maryam D'Abo,0.007
Ice Age 2: The Meltdown,Maryam D'Abo,0.007
Lola Rennt,Maryam D'Abo,0.007
Kung Fu Panda,Jeroen Krabbe,0
Elizabeth: The Golden Age,Joe Don Baker,1.125
"Final Call, The",Joe Don Baker,0.9
Elizabethtown,Joe Don Baker,0.81
"Geisha, The Memoirs of a",Joe Don Baker,0.81
Bones: Die Knochenjägerin (Season 7),Joe Don Baker,0.765
Hotel Rwanda,Joe Don Baker,0.675
Merida - Legende der Highlands,Joe Don Baker,0.54
"Book of Eli, The",Joe Don Baker,0.45
"League of Extraordinary Gentlemen, The",Joe Don Baker,0.008
Sennentuntschi,John Rhys-Davies,1.25
Hangover,John Rhys-Davies,1
"Others, The",John Rhys-Davies,0.855
Mission: Impossible III,John Rhys-Davies,0.72
Fahrenheit 9/11,John Rhys-Davies,0.08
"Last Days on Mars, The",Art Malik,0.9
"Maulwurf, Der - In der Stadt",Art Malik,0.675
Poseidon,Art Malik,0.36
No Country for old Men,Art Malik,0.48
Apocalypse Now,Art Malik,0.4
Art of War,Art Malik,0.24
Blow,Art Malik,0.16
Plötzlich Prinzessin,Art Malik,0.12
Prinzessin Fantaghiro,Art Malik,0.098
Niko - Ein Rentier hebt ab,Art Malik,0.091
Breaking and Entering,Art Malik,0.072
Plötzlich Prinzessin,Timothy Dalton,0.12
No Country for old Men,Timothy Dalton,0.08
Gladiator,Carey Lowell,1.1
Plötzlich Prinzessin,Carey Lowell,0.9
Prinzessin Fantaghiro,Carey Lowell,0.81
Blow,Carey Lowell,0.72
Blow,Carey Lowell,0.08
Apocalypse Now,Robert Davi,0.8
Prinzessin Fantaghiro,Robert Davi,0.72
Art of War,Robert Davi,0.64
"Eiskönigin, Die (Frozen)",Robert Davi,0.56
Krieg der Welten (War of the Worlds),Talisa Soto,1.25
Cinderella,Talisa Soto,0.9
Keinohrhasen,Talisa Soto,0.855
Jagdfieber (Open Season),Talisa Soto,0.81
"Ende, Das (Assault on Precinct 13)",Talisa Soto,0.765
Anna Karenina,Talisa Soto,0.675
Hinter dem Horizont (What Dreams May Come),Talisa Soto,0.36
Iron Man,Talisa Soto,0.64
"Coco, der neugierige Affe",Talisa Soto,0.12
Mein Name ist Eugen,Talisa Soto,0.064
Notting Hill,Talisa Soto,0
Green Zone,Anthony Zerbe,1.1
Batman - The Dark Knight,Anthony Zerbe,0.81
Lady in the Water,Anthony Zerbe,0.64
Plötzlich Prinzessin,Frank McRae,0.8
Niko - Ein Rentier hebt ab,Frank McRae,0.63
Ich - Einfach unverbesserlich 2 (Minions),Pierce Brosnan,1.1
Black Hawk Down,Pierce Brosnan,0.95
Letters to Juliet (Biefe an Julia),Pierce Brosnan,0.9
Keeping the Faith,Pierce Brosnan,0.87
Hugo Cabret,Pierce Brosnan,0.9
Dornröschen,Pierce Brosnan,0.882
"Asterix, der Gallier",Pierce Brosnan,0.855
Ice Age 2: The Meltdown,Pierce Brosnan,0.81
LOST - Staffel 3,Pierce Brosnan,0.72
Bandidas,Pierce Brosnan,0.36
Cars,Pierce Brosnan,0.315
Ice Age 4: Continental Drift,Pierce Brosnan,0.2
"Longest Day, The",Pierce Brosnan,0.16
Lola Rennt,Pierce Brosnan,0.08
"Ghostwriter, Der",Pierce Brosnan,0.064
Meet the Fockers,Pierce Brosnan,0.064
"Pacific, The",Pierce Brosnan,0.064
Flug 93 (United 93),Pierce Brosnan,0.04
Exit,Pierce Brosnan,0.008
Far and Away (In einem Fernen Land),Pierce Brosnan,0.008
"Asterix, sieg über Cäsar",Pierce Brosnan,0.224
Romeo + Juliet,Pierce Brosnan,0.035
Ice Age 1,Pierce Brosnan,0.028
Daredevil,Pierce Brosnan,0.007
Harry Potter V - Orden des Phönix,Pierce Brosnan,0.007
LOST - Staffel 5,Pierce Brosnan,0.007
Mimic,Pierce Brosnan,0.007
"Prophezeiung, Die",Pierce Brosnan,0.007
Casanova,Pierce Brosnan,0.0035
Cargo,Pierce Brosnan,0.006
Pate I (The Godfather),Pierce Brosnan,0.006
Matrix Revolutions,Sean Bean,0.99
I am Legend,Sean Bean,0.81
Machtlos (Rendition),Sean Bean,0.72
Batman - The Dark Knight,Sean Bean,0.63
Daredevil,Sean Bean,0.585
"Junge im gestreiften Pyjama, Der",Sean Bean,0.48
Romeo + Juliet,Sean Bean,0.4
Casablanca,Sean Bean,0.32
LOST - Staffel 5,Sean Bean,0.28
McLeods Töchter: Staffel 3,Sean Bean,0.08
"Good Shepherd, The",Sean Bean,0.04
Fifth Element,Izabella Scorupco,1.125
Machtlos (Rendition),Izabella Scorupco,0.9
"Family Stone, The",Izabella Scorupco,0.765
Schindler's List,Izabella Scorupco,1.08
Robots,Izabella Scorupco,0.76
Luftbrücke - Nur der Himmel war frei,Izabella Scorupco,0.72
Safe House,Izabella Scorupco,0.24
Dirty Dancing 2,Izabella Scorupco,0.49
Mimic,Izabella Scorupco,0.455
Pate I (The Godfather),Izabella Scorupco,0.48
Sissi,Famke Janssen,1.5
Dante's Peak,Famke Janssen,1.4
Jurassic World,Famke Janssen,1.215
Red Planet,Famke Janssen,0.99
Bones: Die Knochenjägerin (Season 2),Famke Janssen,0.72
Perfect World,Famke Janssen,0.675
Hitch,Famke Janssen,0.63
P.S. – Liebe auf Anfang,Famke Janssen,0.27
"Score, The",Famke Janssen,0.8
Day After Tomorrow,Famke Janssen,0.72
Pinocchio,Famke Janssen,0.36
Conspiracy.com,Joe Don Baker,1.25
"Illusionist, The",Joe Don Baker,0.9
Hitch,Joe Don Baker,0.855
Liebe und Eis (The Cutting Edge),Joe Don Baker,0.64
Che: Part One,Judi Dench,1.8
Pate III (The Godfather: Part III),Pierce Brosnan,1
Dornröschen,Pierce Brosnan,0.95
"Rotkäppchen-Verschwörung, Die",Pierce Brosnan,0.81
Perfect World,Pierce Brosnan,0.72
Red Planet,Pierce Brosnan,0.675
"Asterix, der Gallier",Pierce Brosnan,0.585
Liebe und Eis (The Cutting Edge),Pierce Brosnan,0.54
"Score, The",Pierce Brosnan,0.6
Gladiator,Pierce Brosnan,0.56
Kundun,Pierce Brosnan,0.28
Ice Age 2: The Meltdown,Pierce Brosnan,0.28
McLeods Töchter: Staffel 2,Pierce Brosnan,0.07
Resident Evil: Extinction,Pierce Brosnan,0.007
"Ghostwriter, Der",Pierce Brosnan,0.0035
"Dschungelbuch, Das",Pierce Brosnan,0.15
Breaking and Entering,Pierce Brosnan,0.03
LOST - Staffel 6,Pierce Brosnan,0.0015
Dornröschen,Jonathan Pryce,1
